"image","name","oldPrice","currentPrice","CPU","RAM","Ổ cứng","Card","M.Hình","Optional","Card rời"
"https://laptop88.vn/media/product/pro_poster_8317.jpg","[New 100%] Laptop Gaming MSI Bravo 15 B7ED-010VN | Ryzen 5 7535HS | RX 6550M | 15.6 inch 144Hz","23.990.000đ","16.990.000 đ","R5 7535HS","16GB DDR5","SSD 512GB","RX 6550M","15.6"" FHD 144Hz",,
"https://laptop88.vn/media/product/pro_poster_8070.jpg","[New Outlet] Laptop Dell Inspiron 16 Plus 7620 - Intel Core i7 12700H | RAM 40GB | SSD 1TB | 16 inch QHD+ (3K)","29.990.000đ","17.990.000 đ","i7-12700H","40GB DDR5","SSD 1TB NVMe","Intel Iris Xe Graphics ","16 inch QHD+ (3K)",,
"https://laptop88.vn/media/product/pro_poster_6713.jpg","[New Outlet] Laptop Acer Nitro 5 AN515-58-525P - Intel Core i5-12500H | Nvidia RTX 3050 | 15.6 Inch Full HD 144Hz","22.990.000đ","16.790.000 đ","i5 - 12500H","8GB DDR4","SSD 512GB","Nvidia RTX 3050","15.6"" Full HD 144Hz",,
"https://laptop88.vn/media/product/pro_poster_8509.jpg","[New 100%] Laptop Asus Vivobook S5402ZA-IS74-M003Y0 - Intel Core i7-12700H | 12GB | 14.5 inch 2.8K OLED 100% sRGB","21.990.000đ","17.290.000 đ","","(*)16GB DDR4 ","SSD 512GB NVMe","","14.5"" 2.8K OLED",,
"https://laptop88.vn/media/product/pro_poster_8526.jpg","[New Outlet] Dell Inspiron 16 Plus 7630 - Intel Core i7-13700H | 32GB | 1TB | 16 Inch 2.5K","29.990.000đ","19.390.000 đ","","32GB LPDDR5","SSD 1TB NVMe","","16 Inch 2.5K",,
"https://laptop88.vn/media/product/8442_microsoft_surface_laptop_4_1958_ctt12.jpg","[New Outlet] Microsoft Surface Laptop 4 1958  | AMD R5-4680U | 13.5 inch 2K ","18.990.000đ","11.990.000 đ","R5-4680U","8GB LPDDR4","SSD 256GB","AMD Radeon","13 inch 2K Touch",,
"https://laptop88.vn/media/product/pro_poster_8424.jpg","[New 100%] Laptop Dell Inspiron 14 5430 R1808S / PR2P1 | Intel Core i7-1360P | 14 Inch 2K+","25.990.000đ","18.590.000 đ","","16GB DDR5","SSD 512GB NVMe","","14.0"" 2K+ ",,
"https://laptop88.vn/media/product/pro_poster_8508.jpg","[New 100%] Laptop Lenovo LOQ 15APH8 82XT001NUS - AMD Ryzen 7-7840HS | RTX 4050 | 15.6 inch Full HD 144Hz","29.990.000đ","20.390.000 đ","R7 - 7840HS","8GB DDR5","SSD 512GB NMVe","Nvidia RTX 4050","15.6"" FHD 144Hz",,
"https://laptop88.vn/media/product/pro_poster_8434.jpg","[New 100%] Laptop Dell Gaming G15 5530 R1526B - Intel Core i5-13450HX | RTX 4050 | 15.6 inch Full HD 165Hz 100% sRGB","27.990.000đ","24.990.000 đ","","16GB DDR4","SSD 512GB NVMe","Nvidia RTX 4050","15.6"" 100% sRGB 165Hz",,
"https://laptop88.vn/media/product/pro_poster_8338.jpg","[New 100%] HP Victus 15 FB1013dx 845A2UA - AMD Ryzen 5-7535HS | RTX 2050 4GB | 15.6 inch Full HD 144Hz","23.990.000đ","14.690.000 đ","","8GB DDR5","SSD 512GB NVMe","RTX 2050 4GB","15.6"" FHD 144Hz",,
"https://laptop88.vn/media/product/pro_poster_8514.jpg","[New 100%] Lenovo Ideapad Gaming 3 15ARH7-82SB00SLUS - AMD R5-7535HS | RTX 2050 | 15.6 inch Full HD 120Hz","20.990.000đ","14.290.000 đ","R5-7535HS","8GB DDR5","SSD 512GB NMVe","Nvidia RTX 2050","15.6"" FHD 120hz",,
"https://laptop88.vn/media/product/pro_poster_8430.jpg","[New Outlet] Laptop Lenovo Legion 5 Pro 16IAH7 82S00003US - Intel Core i7 - 12700H | RTX 3050 Ti | 16 Inch WQXGA 100% sRGB 165Hz","29.990.000đ","23.990.000 đ","i7-12700H","16GB ","SSD 512GB NVMe","Nvidia RTX 3050Ti 4GB","16"" 165Hz 100%sRGB",,
"https://laptop88.vn/media/product/pro_poster_8429.jpg","[New 100%] Laptop HP OMEN 16 k0033dx 74S79UA | Intel Core i9-12900H | 16GB | RTX 3060 6GB | 16.1 inch 2K 165Hz","33.990.000đ","27.990.000 đ","","16GB DDR5","SSD 1TB NVMe","Nvidia RTX 3060 6GB","16"" 2K 100% sRGB 165Hz",,
"https://laptop88.vn/media/product/pro_poster_7683.jpg","[New 100%] Laptop Dell Inspiron 14 5420 R1608S - Intel Core i5 - 1240p | 16GB | 14 Inch 2.2K","17.990.000đ","14.790.000 đ","","16GB DDR4","SSD 512GB NVMe","","14"" 2.2K",,
"https://laptop88.vn/media/product/pro_poster_8550.jpg","[New Outlet] Laptop Lenovo Flex 7 14IAU7 82VC0001US - Intel Core i7-1255U | 16GB DDR4 | 14 inch 2.2K Touch 100% sRGB","23.990.000đ","14.590.000 đ","","16GB DDR4","SSD 512GB","","14 2.2K 100% sRGB",,
"https://laptop88.vn/media/product/pro_poster_7716.jpg","[New 100%] Laptop Dell Inspiron 15 3511 - Intel Core i5 - 1135G7 | 15.6 Inch Full HD | Bạc ","16.990.000đ","11.990.000 đ","i5-1135G7","8GB DDR4","SSD 512GB","Intel Iris Xe Grapchis","15.6"" Full HD",,
"https://laptop88.vn/media/product/pro_poster_8448.jpg","[New Outlet] Microsoft Surface Laptop 4 1953 | AMD R7-4980U | 15 inch 2K ","20.990.000đ","12.990.000 đ","R7-4980U","8GB LPDDR4","SSD 256GB","AMD Radeon","15 inch 2K Touch",,
"https://laptop88.vn/media/product/pro_poster_8268.jpg","[New 100%] Laptop Dell Inspiron 14 7430 2in1 RD7PJ - Intel Core i5 1335U |  14 Full HD+ Touch","20.990.000đ","16.290.000 đ","","8GB LPDDR5","SSD 512GB","","14.0"" Full HD+ Touch",,
